ESTRUCTURA BDD MEDIOS/PROGRAMAS																	
Datos generales del medio											Datos genericos de contacto1						
NOMBRE	WEB	TIPO DE MEDIO	PERIODICIDAD	ÁMBITO	SECTOR1	SECTOR2	SECTOR3	SECTOR4	SECTOR5	EMPRESA	DESCRIPCIÓN	DIRECCIÓN	CP	PROVINCIA	CIUDAD	TEL. FIJO	TELF. MOBIL
AUTOMOCIONBLOG.COM		Blog			Redactor/a jefe/a												691 239 363
AUTOMÓVIL		Revista			Redactor/a jefe/a									Madrid	Madrid		91 347 01 00
AUTOPISTA		Revista			Redactor/a					Motorpress Ibérica (MPIB)				Madrid	Madrid		91 347 02 78
AUTORENTING		Revista			Redactor/a									Madrid	Madrid		91 713 02 60
AVIADOR		Revista			Redactor/a jefe/a												629010203
B SPIRIT		Revista			Redactor/a					Brussels Airlines		141-143 Shoreditch High St	E1 6JE	Reino Unido	London		44 (0)207 613 8784 - 44 20 7613 8777
B/Glame-it		Blog															
BABYRADIO		Radio			Director/a de Márketing							 Manantial, 13 - Edificio CEEI - Oficinas 205 y 206	11500	Cádiz	El Puerto de Santa María		
BAIXAGASTRONOMIA.CAT		Internet portal temático			Periodista Blogger					Baixagastronomia.cat							
BALTIC OUTLOOK MAGAZINE		Revista profesional			Redactor/a					Air Baltic				Letonia			37167293970
BANGKOK AIRWAYS MAGAZINE		Revista			Redacción					Bankok Airlines		89 Neil Road	#03-01	Malaysia	Singapore		0065 6324 2386
BARCELONA DELUXE		Revista			Director/a					Grup Le City Deluxe		Paseo de Gracia, 118 Principal	8008	Barcelona	Barcelona		93 255 31 71
BARCELONA DIVINA		Revista			Director/a					Barcelona Divina S.L.		Tuset 34, Entresuelo A	8006	Barcelona	Barcelona		93 518 13 28
BARCELONA METROPOLITAN		Revista			Redacción					Creative Media Group S.L.		Ciutat 7, 2-4	8002	Barcelona	Barcelona		93 451 44 86
BARCELONA PRESTIGE		Revista			Editor/a					JM Publicitat 88 S.L.		Concepción Arenal 94-98, Entresuelo 2ª Esc. Derecha	8027	Barcelona	Barcelona		93 418 58 56
BARCELONÉS		Revista			Freelance					Revistas Exclusivas S.L.		Santa Agata 4-6, 3ª Planta	8012	Barcelona	Barcelona		93 241 27 55 - 93 218 78 21
BARCOS & YACHTING MOTOR VELA		Revista			Director /a					Editorial Grupo V		Moià, 1, 2a Planta	8006	Barcelona	Barcelona		932414251
BARRABES.COM		Internet portal temático			Redacción												
BBT ONLINE		Internet portal temático			Delegado/a de public./editorial					BBT Online		Rue de Toulouse 49	1040	Bélgica	Brussels		0032 476 26 75 67
BCNPRESS:NET		Internet portal temático			Director/a									Barcelona	Barcelona		607 21 57 21
BE AND LIFE		Revista			Director /a							 Jerónimo Zurita 15 - 3º Dcha Ofic. B	50001	Zaragoza	Zaragoza		
BEAUTY QUALIFIED		Revista profesional			Redactor/a jefe/a							Pº Zorrilla, 56	47006	Valladolid	Valladolid		983 586 046
BEKIA WEB		Internet portal temático			Redactor/a jefe/a							Santa Leonor, 65. edif E-1ºB	28037	Madrid	Madrid		91 769 22 44
BELL'EUROPA		Revista			Redactor/a					Cairo Editore		Sede Sociale Corso Magenta 55	20123	Italia	Milano		0039 339 5340726
BETWEEN BUSINESS TRAVEL		Revista profesional			Redacción					Between Business-Travel		Postbus 45	8170	Holanda	AC Vaassen		0031578 576 224
BFTP					Redacción					Belgian Fedetarion of Tourist Press				Bélgica			0032 3 636 12 42
BGUIDED		Internet portal temático			Director /a									Barcelona	Barcelona		932247135
BLOGSFARM		Blog															
BLUE MAGAZINE					Redactor/a					Aegean Airlines		Viltanioti 31, Kifisiá	145 64	Grecia	Atenas		210 626 1700
BRANDNEW STRATEGY					Director/a					Brand New Strategy		Bailen 95-97, Principal 2ª	8009	Barcelona	Barcelona		
BRAVO		Revista			Redactor/a					HEINRICH BAUER EDICIONES S.L.		Calle Pedro Teixeira, 8 - 5º planta	28020	Madrid	Madrid		91 547 68 00
BTV		TV			Productor/a					Informació i Comunicació de Barcelona S.A. (ICB)		Plaça Tísner 1	8018	Barcelona	Barcelona	93 506 42 00	93 218 46 48 
BUSINESS TRAVEL		Revista profesional			Redacción					Business Travel		Heinrich-Könn-Str. 98	40625	Alemania	Düsseldorf		0049 21 12 95 11 1
BUSINESS TRAVEL NEWS		Revista profesional			Redactor/a jefe/a					BTN Group		116 W. 32nd St., 14th Floor	NY 10001	USA	New York		(646) 380-6263
BUSINESS TRAVEL NEWS RUSSIA		Revista profesional			Redacción					BTN Group				Rusia			0095 776-5522
BUSINESS TRAVELLER		Revista profesional			Redacción					Business Traveller		Schulstraße 34	80634	Alemania	München		0049 89 13 01 43 20
BUSINESS TRAVELLER UK		Revista profesional			Redactor/a jefe/a					Business Traveller		5th floor Warwick House, 25 Buckingham Palace Road	SW1W 0PP	Reino Unido	London		0044 20 7821 2700
BUSINESS&CLASS		Revista			Director/a					Business&Class							
BUYER BUSINESS CLUB		Revista profesional			Redactor/a					Buyers' Networking Club		Fairmont House, 9 Rowan Drive	RG45 6RY	Reino Unido	Crowthorne		0044 78 4151 8708
BUYING BUSINESS TRAVEL		Revista profesional			Delegado/a de public./editorial					Buying Business Travel		5th Floor, Warwick House, 25-27 Buckingham Palace Road	SW1W 0PP	Reino Unido	London		0044 20 7821 2715
C&C MAGAZINE		Revista profesional			Editor/a					Ediciones Planet Look		Francesc Layret, 65	8911	Barcelona	Barcelona		93 389 19 19
CABINES		Revista profesional			Redactor/a							 Muntaner, 200, 3º, 5ª	8036	Barcelona	Barcelona		934140567
Caddie Golf Magazine		Revista			Editor/a									Madrid	Madrid		914027668
Cadena COPE		Radio			Redactor/a					Radio Popular S.A.				Madrid	Madrid		91 320 41 36
CADENA SER		Radio			Redactor/a					Grupo Prisa Radio		Casp 6	8010	Barcelona	Barcelona		933441400
CALLE 20		Suplementos			Redactor/a jefe/a					Grupo 20 minutos		Condesa de Venadito, 1 - Planta 2 Derecha	28027	Madrid	Madrid		91 701 56 00
CAMÍ PARTICULAR (BTV)		TV			Director/a					Informació i Comunicació de Barcelona S.A. (ICB)		Plaça Tísner 1	8018	Barcelona	Barcelona	93 506 42 00	93 218 46 48 
CAMPO BASE		Revista			Redactor/a					Editorial CampoBase S.L.		Calle Alfonso XII, Nº36, 3ºIzq - 81 25	28014	Madrid	Madrid		91 702 75 86
CAMPOS DE TIRO		Revista			Secretario/a de redacción					Devinco Europa 2000 S.L.		C/ Rodríguez San Pedro 2, Despacho 205.	28015	Madrid	Madrid		914 480 253
CANADIAN TRAVEL PRESS					Redactor/a jefe/a					Baxter Travel Media				Canadá			1 416 968 72 52
CANAL CAZA Y PESCA (CANAL +)		TV			Productor/a					DTS, S.A		Av. Artesanos, 6 	28760	Madrid	Tres Cantos		91 736 88 21
CAPITAL		Revista			Director/a					DIXI PRESS		Alfonso XI 4, 3 planta	28014	Madrid	Madrid		91 523 92 12
CAPITANES DE MAR 		Internet portal temático			Redactor/a jefe/a									Barcelona	Barcelona		932214457
CAR		Revista			Director/a					Prisa Revistas		Valentín Beato, 48  3ª Planta	28037	Madrid	Madrid		
CAR & DRIVER		Revista			Director/a					Hearst Magazines S.L.				Madrid	Madrid		91 728 7000
CARRERAS DE MONTAÑA		Revista												Madrid	Madrid		91 852 07 18
CASA DIEZ		Revista			Redactor/a					Hearst Magazines S.L.		Avda. Cardenal Herrera Oria,3	28034	Madrid			
CASACOCHECURRO.COM		Internet medio digital															
CASACOCHECURRO.COM		Internet portal temático			Redactor/a												
CASAR-SE A CATALUNYA (Webnovias)		Revista			Redactor/a					Ediciones ADG S.L.		Casanova 209, Principal 1	8021	Barcelona	Barcelona		93 201 12 16
CASAR-SE A CATALUNYA (Webnovias)		Revista			Redactor/a					Ediciones ADG S.L.		Casanova 209, Principal 1	8021	Barcelona	Barcelona		93 201 12 16
CASAR-SE A CATALUNYA (Webnovias)		Revista			Redactor/a jefe/a					Ediciones ADG S.L.		Casanova 209, Principal 1	8021	Barcelona	Barcelona		93 201 12 16
CAT PUBLICATIONS		Revista profesional			Redactor/a					Centre for Alternative Technology Publications		Machynlleth, Powys, Wales	SY20 9AZ	Reino Unido	London		01654 705980
CATAKRACK (BTV)		TV			Coordinador/a					Informació i Comunicació de Barcelona S.A. (ICB)		Plaça Tísner 1	8018	Barcelona	Barcelona	93 506 42 00	93 218 46 48
CATALUNYA EMPRESARIAL		Revista			Director/a					Prensa Económica S.L.		Muntaner 200, 2ª Planta, 6º	8036	Barcelona	Barcelona		93 200 16 15
CATALUNYA EMPRESARIAL		Revista			Redacción					Prensa Económica S.L.		Muntaner 200, 2ª Planta, 6º	8036	Barcelona	Barcelona		93 200 16 15
CATALUNYA RÀDIO		Radio			Editor/a					Televisió de Catalunya, S.A. 		Carrer de Jacint Verdaguer 0	8970	Barcelona	Barcelona		93 306 92 00
CATALUÑA ECONÓMICA		Revista			Delegado/a de public./editorial					Cataluña Económica		Pau Casal 36, Local 2 BIS	8172	Barcelona	Sant Cugat del Vallès		93 675 04 54
CATERER AND HOTEL KEEPER		Revista profesional			Redactor/a					Caterer and Hotelkeeper		TWGCA LLP, 52 Grosvenor Gardens	SW1W 0AU	Reino Unido	London		44(0) 20 7881 4802
CAZA DEPORTIVA		Revista			Director /a					Federación Andaluza de Caza (FAC)		Los Morenos s/n	29300	Málaga	Arcbidona		952 714 871
CAZA Y SAFARIS		Revista			Redacción					Cega Multimedia, S.A.		 Anabel Segura, 11, Edificio A 3ºC (Arroyo de la Vega)	28100	Madrid	 Alcobendas 		913 192 671
CAZARMAS 		Revista			Director Publicidad					Editorial Grupo V		Moià, 1, 2a Planta	8006	Barcelona	Barcelona		932414251
CAZAYAMIGOS.COM		Internet portal temático															
CHANCE		Internet portal temático			Redactor/a					EUROPA PRESS							
CHARHADAS.COM		Internet portal temático			Director /a									Madrid	Madrid		913576001
CHEF-CLUB		Revista profesional			Delegado/a de public./editorial					Cooking Books S.L.				Barcelona	Barcelona		93 459 29 29
CHICAGO CONNECTIONS					Director/a					Choose Chicago		301 East Cermak Road	IL 60616	USA	Chicago		+1 312 567 8500
ChurchillAndRufus		Blog															
CICLISMO A FONDO		Revista			Director/a									Madrid	Madrid		91 347 01 00
CICLOSFERA		Revista			Director/a							Sebastián Elcano, 30-32	28012	Madrid	Madrid		915 193 413
CIM NEWSBYTES		Revista profesional			Redactor/a					Creative Head Media Pty Ltd		PO Box 189	NSW 1590	Australia	St Leonard		+61 294 382 30
CINCO DIAS		Prensa diaria			Jefe/a de sección					ESTRUCTURA GRUPO DE ESTUDIOS ECONÓMICOS S.A.		Miguel Yuste,42	28037	Madrid	Madrid		91 538 61 00
CINCO SENTIDOS (Cinco Días)		Suplementos			Redactor/a					ESTRUCTURA GRUPO DE ESTUDIOS ECONÓMICOS S.A.		Miguel Yuste,42	28037	Madrid	Madrid	93 389 94 40	91 538 61 00
CITY LIFE		Revista			Asistente					City Life				Hong Kong			852 3102 8700
CLARA		Revista			Coordinador /a					RBA Revistas SL				Barcelona	Barcelona		934 157 374
CLUB CORTE INGLES		Revista			Redactor/a jefe/a												
CLUB XTREME TV		TV												Barcelona	Barcelona		
CMD SPORT		Revista profesional			Redactor/a												93 680 11 11
COCHE ACTUAL		Revista			Redactor/a					Motorpress Ibérica (MPIB)		Ancora, 40	28045	Madrid	Madrid		91.347.01.57
COIFFURE PROFESSIONNELLE		Revista profesional			Redactor/a							C/Fuentelviejo, 40	8022	Madrid	Madrid		91 747 80 00
COLPISA		Agencia de noticias			Redactor/a					AGENCIA COLPISA, S.L.U.		Avenida Juan Ignacio Luca de Tena, 7	28027	Madrid	Madrid	91 339 96 27	91 339 90 00 / 91 339 90 05
CON MAPA Y GPS		Blog			Redactor/a												
CONDÉ NAST TRAVELER		Revista			Redactor/a Web					Ediciones Condé Nast, S.A				Madrid	Madrid		91 829 08 21
CONDÉ NAST TRAVELER CANADA		Revista			Director/a					Conde Nast Traveller Internationally				USA			
CONDÉ NAST TRAVELER DUBAI		Revista			Director/a					Conde Nast Traveller Internationally				Emiratos Árabes			
CONDÉ NAST TRAVELER GREECE		Revista			Director/a					Conde Nast Traveller Internationally				Grecia			
CONDÉ NAST TRAVELER ITALY		Revista			Director/a					Conde Nast Traveller Internationally				Italia			
CONDÉ NAST TRAVELER NY		Revista			Delegado/a de public./editorial					Condé Nast Digital				USA			
CONFERENCE AND INCENTIVE MANAGEMENT		Revista profesional			Redactor/a					T&M Media GmbH & Co. KG		Hilpertstraße 3	D-64295	Alemania	Darmstadt		0049 61 51 39 07 952
CONFERENCE AND INCENTIVE TRAVEL		Revista profesional			Redactor/a					Haymarket Media Group Ltd.				Reino Unido	London		0044 20 8267 4285
CONGRESS TODAY		Revista profesional			Redacción					Congress Today				Italia			+39 02.29419135 
CONGRESS WERELD		Revista profesional			Redacción					Vakwereld BV		Tav. CongresWereld, Postbus 101	1260 AC	Holanda	Blaricum		087-8742062
CONNEXIÓ BARCELONA (BTV)		TV			Presentador/a					Informació i Comunicació de Barcelona S.A. (ICB)		Plaça Tísner 1	8018	Barcelona	Barcelona	93 506 42 00	93 218 46 48 
CONTRASTE		Revista profesional			Redactor/a jefe/a					Grupo Duplex S.A.		Vía Laietana 71, pral.	8003	Barcelona	Barcelona		93 318 37 38
CONVEGNI, INCENTIVE & COMUNICAZIONE		Revista profesional			Redactor/a					Ediman srl 		Via Ripamonti, 89	20141	Italia	Milano		+39 02 57311511
CONVENTION NET		Internet portal temático			Redactor/a					H.W.G. Marketing & Werbung		Wiedbachstraße 50	D-56567	Alemania	Neuwied		0049 26 31 96 46 38
CONVERSES (RÀDIO 4)		Radio			Redactor/a					RNE		Carrer Roc Boronat 127	8018	Barcelona	Barcelona		93 304 81 00 - 93 304 81 91
COOLTURE MAGAZINE		Revista			Director /a					Coolturemag		Viladomat 99, ático 2	8015	Barcelona	Barcelona		933 256 022
CORPORATE PLANNER		Revista profesional			Redacción					THEPLANNER.be bvba		Gustaaf vanden Meerschestraat 42	9000	Bélgica	Gante		0032 9 329 02 73 
CORREDOR DE MONTAÑA		Revista			Director /a												699 099 776
CORREO FARMACÉUTICO		Revista profesional			Redactor/a					Unidad Editorial Revistas SLU		Pº Castellana, 66, 3º	28046	Madrid	Madrid		91 443 63 96
CORRICOLARI		Revista			Redactor/a												
COSASDEBELLEZA.COM		Internet portal temático			Redactor/a					COSASDE				Madrid	Madrid		91.399.14.72
COSASDEBELLEZA:COM		Internet medio digital															
COSASDEMODA.COM		Internet medio digital															
COSASDEMODA.COM		Internet portal temático			Redactor/a					COSASDE				Madrid	Madrid		
COSMETIC SURGERY TIMES		Internet portal temático			Redactor/a									Madrid	Madrid		91 500 20 77
COSMOHISPANO		Internet medio digital			Editor/a					GyJ Publicaciones Internacionales, S.L. y Cía. S. en C.,		C/Albasanz,15. Edif. A	28037	Madrid	Madrid		91 436 98 00 (ext. 2038)
COSMOPOLIS MAGAZIN		Revista			Redactor/a jefe/a					Cosmopolis				República Checa			
COSMOPOLITAN		Revista								G+J España							
COSMOPOLITAN		Revista			Freelance					GyJ Publicaciones Internacionales, S.L. y Cía. S. en C.,		Rambla de Catalunya, 91-93	8008	Barcelona	Barcelona		93 240 10 00
COT BUSINESS		Revista profesional			Redactor/a					COT media s.r.o.				República Checa			+420 226 257 742
CRECER FELIZ 		Revista			Estilista					Hearst Magazines S.L.				Madrid	Madrid		
CRONOS MAGAZINE		Revista			Director/a					Curt Ediciones, SA		Consell de Cent, 398	8009	Barcelona	Barcelona		93 318 01 01
CRONOTEMPVS		Internet medio digital			Redacción					Cronotempvs							
CRUCEROS Y DESTINOS		Revista			Publicidad									Pontevedra	Pontevedra		
CUATRO (INFORMATIVOS)		TV			Redactor/a					Mediaset España							93 343 69 10
CUERPOMENTE		Revista			Redactor/a jefe/a							Pérez Galdós, 36	8012	Barcelona	Barcelona		93 415 73 74
CUINA		Revista								Sàpiens Publicacions							
CUINA		Revista			Director/a					Sàpiens Publicacions		Premià, 15, 2a planta	8014	Barcelona	Barcelona	93 389 94 60	93 464 63 68 
CULTURAGASTRO.COM		Internet portal temático			Periodista Blogger					Culturagastro.com							
CUORE		Revista			Redactor/a					Zoom Ediciones, S.L.		Orduña, 3	28034	Madrid	Madrid		915863300
CUORE STILO		Suplementos			Freelance					Zoom Ediciones, S.L.		Orduña, 3	28034	Madrid	Madrid		91 747 30 19
CUORE.ES		Internet medio digital			CM					Zoom Ediciones, S.L.		Orduña, 3	28034	Madrid	Madrid		915863300
CUPATGES		Revista			Director/a					Stilgraphic S.L. 		Independència 384-386, ent., despacho 1	8041	Barcelona	Barcelona		93 433 49 00
CYL					Coordinador /a							Fluvià, 81-87	8019	Barcelona	Barcelona		93 303 68 90
DAY TRAVEL MAGAZINE		Revista profesional			Redactor/a jefe/a					Redazione DAYTRAVEL		V ia C. Colombo, 11	10128	Italia	Torino		011/593827
DDERMIS		Revista profesional			Redactor/a jefe/a									Barcelona	Barcelona		931 85 05 77
DDONA		Revista			Delegado/a de public./editorial					dDona Edicions s.c.p.		Camèlies 99 4rt 1a	8024	Barcelona	Barcelona		93 321 37 38
DE MODA EN LA CIUDAD		Revista			Redactor/a jefe/a							Avda. Santiago Ramón y Cajal, 5	3203	Alicante	Torrellano		
DE VIAJES		Revista			Jefe/a de sección					Hearst Magazines S.L.		Av. Cardenal Herrera Oria, 3	28034	Madrid	Madrid		917 286 777
DECOLLAGE MAGAZINE		Revista			Editor/a												
DEIXA'M TASTAR		Radio			Conductor/a					Ràdio Santa Perpètua (107 fm)		Camí de la granja, s/n	8130	Barcelona	Santa Perpètua de Mogoda		93 574 13 14
DELUXE BARCELONA		Revista			Director/a									Barcelona	Barcelona		93 481 43 42
